Vietnamese,Anger,Disgust,Fear,Enjoyment,Sadness,Surprise,
Danh nhân,0,0,0,1,0,1,2
danh tiếng,0,0,0,1,0,1,2
nghệ thuật nhạc kịch,0,0,0,1,0,1,2
sự nổi tiếng,0,0,0,1,0,1,2
bất tận,0,0,1,0,1,0,2
bệnh dịch,1,1,1,0,1,1,5
bỏ cuộc,0,0,1,0,1,0,2
bùng nổ,1,0,1,1,1,1,5
cường điệu,0,1,0,0,0,1,2
dơ,1,1,1,0,1,1,5
giáo dục,0,0,0,1,0,0,1
lãng mạng,0,0,1,1,1,1,4
mơ mộng,0,0,1,1,1,1,4
nghỉ hưu,0,0,0,1,1,0,2
ngừng hoạt động,1,1,1,0,1,1,5
nhơ,1,1,1,0,1,1,5
nuôi nấng,1,1,1,1,0,0,4
trộm,0,1,1,1,1,1,5
ác nghiệt,1,1,1,0,1,0,4
bão,0,0,1,0,0,1,2
bất khuất,0,0,0,1,0,1,2
bị đối xử tàn tệ,1,1,1,0,1,0,4
bị lạm dụng,1,1,1,0,1,0,4
bị ngược đãi,1,1,1,0,1,0,4
buộc,1,0,1,0,1,0,3
cao nhất,0,0,0,1,0,1,2
cầu xin,0,0,0,0,0,1,1
chém giết,1,1,1,0,1,0,4
chênh lệch,0,0,0,0,0,1,1
có tiền,0,0,1,1,0,0,2
của cải,1,0,0,1,0,1,3
cướp bóc,1,1,1,0,1,1,5
cướp giật,1,1,1,0,1,1,5
đám chìm,0,0,1,1,0,1,3
đích đến,0,0,1,1,1,1,4
diễu hành,0,0,1,1,0,1,3
đổ máu,1,1,1,0,1,1,5
dông tố,0,0,1,0,1,1,3
duyệt binh,0,0,1,1,0,1,3
ghê gớm,1,1,1,0,1,0,4
gợi cảm,0,0,0,1,0,1,2
ham muốn,0,0,0,1,0,1,2
kết hôn,0,0,1,1,0,1,3
khẩn cầu,0,0,1,1,0,1,3
không chính đáng,1,1,1,0,1,1,5
không hợp pháp,1,1,1,0,1,1,5
không kiềm chế,1,0,1,0,0,1,3
kích thích,1,0,1,1,0,1,4
lãng trí,1,1,1,0,1,0,4
lấy chồng,0,0,1,1,0,1,3
lấy vợ,0,0,1,1,0,1,3
lớn nhất,0,0,1,1,0,1,3
mải mê,0,0,1,1,0,1,3
nguyện cầu,0,0,1,1,0,1,3
nhẫn tâm,1,1,1,0,1,0,4
nhơ bẩn,1,1,1,0,1,0,4
nhục dục,0,0,0,1,0,1,2
phô trương,0,0,0,1,0,1,2
tàn nhẫn,1,1,1,0,0,0,3
thả lỏng,0,0,1,0,0,1,2
thắng,0,0,0,1,0,1,2
thanh Xuân,0,0,0,1,0,0,1
thắt,1,0,1,0,1,0,3
tiền bạc,1,0,0,1,0,1,3
tiền mặt,1,0,1,1,0,0,3
tốt nghiệp,0,0,1,1,0,1,3
tra khảo,1,1,1,0,1,0,4
tra tấn,1,1,1,0,1,0,4
trốn tránh,1,1,1,0,1,0,4
tuổi trẻ,1,0,1,1,0,1,4
vô địch,0,0,0,1,0,1,2
vô gia cư,0,1,1,0,1,0,3
vô thể,1,1,1,0,0,1,4
vụng trộm,1,1,1,1,0,0,4
ầm ỹ,1,0,0,0,0,0,1
ao ước,0,0,0,1,0,0,1
bà đỡ,0,0,0,0,0,0,0
bà mụ,0,0,0,0,0,0,0
ban nhạc,0,0,0,0,0,0,0
bất hợp pháp,0,1,1,0,1,0,3
bất hợp tác,1,1,0,0,1,0,3
bất lợi,1,1,1,0,1,0,4
bất mãn,1,1,0,0,1,0,3
bất tử,0,0,0,1,1,0,2
bày tỏ,0,0,0,1,0,1,2
bị biến dạng,0,0,1,0,1,0,2
bị co giật,0,1,1,0,0,1,3
bị co rút,0,1,1,0,0,1,3
bị kích thích,0,0,0,1,0,1,2
bị tàn phá,1,1,1,0,1,0,4
bình minh,0,0,0,1,0,0,1
bỏ đi,0,1,1,0,1,0,3
bỏ rơi,0,1,1,0,1,0,3
bổ sung,0,0,0,1,0,1,2
bỏ trốn,0,0,1,0,0,0,1
